iter	Passed	Remaining
0	155	155408
1	156	78047
2	158	52576
3	159	39763
4	161	32165
5	163	27071
6	165	23408
7	166	20663
8	168	18531
9	169	16745
10	170	15332
11	172	14169
12	173	13173
13	174	12319
14	175	11553
15	177	10911
16	179	10355
17	180	9848
18	181	9394
19	182	8945
20	184	8582
21	185	8254
22	187	7953
23	188	7665
24	189	7398
25	190	7148
26	192	6932
27	193	6728
28	195	6531
29	195	6334
30	197	6161
31	198	5999
32	199	5856
33	201	5718
34	202	5584
35	203	5453
36	204	5330
37	205	5213
38	207	5105
39	208	5009
40	210	4912
41	211	4817
42	212	4728
43	213	4640
44	214	4560
45	216	4483
46	217	4407
47	218	4334
48	219	4268
49	221	4200
50	221	4122
51	222	4064
52	224	4007
53	225	3950
54	226	3895
55	227	3843
56	229	3789
57	230	3741
58	231	3687
59	232	3639
60	233	3594
61	234	3549
62	235	3506
63	236	3465
64	238	3430
65	239	3393
66	240	3348
67	241	3311
68	243	3279
69	244	3246
70	245	3214
71	246	3178
72	247	3147
73	249	3116
74	249	3080
75	250	3050
76	252	3020
77	252	2989
78	254	2967
79	255	2941
80	257	2916
81	258	2892
82	259	2868
83	260	2843
84	261	2814
85	262	2789
86	263	2766
87	264	2744
88	266	2722
89	267	2701
90	268	2683
91	270	2665
92	271	2645
93	272	2627
94	273	2608
95	275	2591
96	275	2568
97	277	2549
98	278	2531
99	279	2514
100	280	2496
101	281	2479
102	282	2462
103	284	2448
104	284	2428
105	286	2414
106	287	2399
107	288	2384
108	289	2369
109	291	2355
110	292	2340
111	293	2327
112	294	2313
113	295	2299
114	297	2285
115	298	2272
116	299	2260
117	300	2249
118	302	2239
119	303	2226
120	304	2214
121	305	2201
122	306	2183
123	307	2171
124	308	2159
125	308	2143
126	310	2131
127	311	2121
128	312	2111
129	313	2100
130	315	2091
131	316	2084
132	318	2073
133	319	2063
134	320	2053
135	321	2044
136	322	2034
137	323	2022
138	324	2012
139	326	2002
140	327	1993
141	328	1983
142	329	1975
143	331	1969
144	332	1960
145	333	1951
146	334	1942
147	335	1934
148	337	1925
149	338	1916
150	339	1908
151	340	1900
152	341	1892
153	342	1884
154	344	1875
155	345	1868
156	346	1863
157	348	1856
158	349	1849
159	351	1843
160	352	1837
161	354	1831
162	355	1826
163	357	1821
164	358	1816
165	360	1810
166	361	1805
167	363	1799
168	364	1794
169	366	1787
170	367	1782
171	369	1776
172	370	1771
173	372	1766
174	373	1762
175	375	1757
176	377	1753
177	378	1749
178	380	1744
179	381	1740
180	383	1735
181	384	1729
182	386	1724
183	387	1719
184	389	1715
185	390	1710
186	392	1707
187	394	1704
188	396	1700
189	397	1694
190	398	1688
191	399	1682
192	401	1677
193	402	1672
194	403	1666
195	405	1661
196	406	1655
197	407	1650
198	408	1645
199	410	1641
200	411	1635
201	412	1629
202	413	1624
203	415	1620
204	416	1615
205	417	1610
206	419	1605
207	420	1599
208	421	1594
209	422	1589
210	424	1585
211	425	1581
212	426	1575
213	427	1570
214	428	1565
215	430	1561
216	431	1556
217	432	1551
218	433	1547
219	435	1542
220	436	1537
221	437	1532
222	438	1527
223	439	1523
224	441	1519
225	442	1516
226	444	1513
227	446	1510
228	447	1507
229	448	1503
230	450	1499
231	451	1495
232	453	1492
233	454	1488
234	456	1484
235	457	1480
236	458	1477
237	460	1474
238	461	1470
239	463	1466
240	464	1462
241	465	1458
242	466	1453
243	467	1449
244	469	1445
245	470	1441
246	471	1437
247	472	1433
248	474	1429
249	475	1426
250	476	1422
251	477	1417
252	478	1414
253	480	1409
254	481	1405
255	482	1401
256	483	1397
257	484	1393
258	485	1389
259	486	1385
260	488	1382
261	489	1379
262	490	1375
263	492	1371
264	493	1367
265	494	1363
266	495	1360
267	496	1356
268	497	1353
269	499	1349
270	500	1345
271	501	1342
272	502	1338
273	503	1335
274	505	1331
275	506	1328
276	507	1325
277	508	1321
278	509	1317
279	511	1314
280	512	1310
281	513	1306
282	514	1303
283	515	1299
284	517	1297
285	518	1295
286	520	1292
287	521	1290
288	523	1287
289	524	1284
290	526	1281
291	527	1279
292	529	1276
293	530	1274
294	532	1272
295	534	1270
296	535	1267
297	537	1265
298	539	1263
299	540	1261
300	541	1258
301	543	1255
302	545	1253
303	546	1251
304	548	1249
305	549	1247
306	551	1244
307	552	1241
308	554	1239
309	555	1236
310	557	1234
311	558	1231
312	560	1229
313	561	1226
314	563	1225
315	565	1223
316	566	1220
317	568	1218
318	569	1216
