iter	RMSE
0	11664.15062
1	11302.41322
2	10972.43791
3	10636.50561
4	10345.16706
5	10056.43424
6	9764.1445
7	9502.340631
8	9240.478787
9	9004.454408
10	8761.328204
11	8558.627864
12	8350.26917
13	8176.850875
14	7988.432511
15	7803.262716
16	7627.567939
17	7464.847968
18	7310.895581
19	7157.423961
20	7010.927801
21	6862.891154
22	6725.723157
23	6595.862784
24	6478.220333
25	6361.461812
26	6255.086431
27	6151.459832
28	6054.693135
29	5951.43058
30	5867.602541
31	5788.45592
32	5712.991258
33	5639.261003
34	5568.757399
35	5499.670541
36	5435.396569
37	5374.873843
38	5315.512925
39	5259.263386
40	5206.091429
41	5158.113583
42	5111.487907
43	5072.592141
44	5033.392775
45	4992.374869
46	4955.480922
47	4921.744851
48	4886.524863
49	4849.415807
50	4830.324749
51	4800.81301
52	4770.725747
53	4746.539695
54	4721.51732
55	4695.915279
56	4673.207695
57	4650.360041
58	4630.950264
59	4607.292747
60	4585.710713
61	4564.006533
62	4548.455037
63	4530.530596
64	4516.087413
65	4501.023816
66	4488.490369
67	4474.484882
68	4460.75667
69	4446.248957
70	4436.156054
71	4427.092841
72	4418.411008
73	4407.176933
74	4400.996714
75	4392.375786
76	4382.518859
77	4375.569101
78	4365.462995
79	4358.858519
80	4349.615539
81	4341.662302
82	4334.575422
83	4327.26389
84	4323.810767
85	4318.092191
86	4308.68301
87	4303.386594
88	4296.429837
89	4290.113048
90	4282.832087
91	4277.583679
92	4272.748396
93	4267.621074
94	4260.701997
95	4251.755174
96	4249.372408
97	4245.488745
98	4241.184167
99	4234.781706
100	4229.358341
101	4225.408522
102	4221.279784
103	4215.870125
104	4214.317587
105	4205.785711
106	4202.311051
107	4198.001944
108	4195.339364
109	4190.591784
110	4185.336642
111	4180.850591
112	4177.173496
113	4173.328576
114	4170.304525
115	4166.732713
116	4161.617637
117	4158.107371
118	4153.510791
119	4149.403336
120	4142.984907
121	4140.001577
122	4139.726648
123	4136.867137
124	4133.838384
125	4132.810358
126	4126.362289
127	4121.351499
128	4116.65642
129	4114.263514
130	4112.075886
131	4108.892266
132	4105.237717
133	4102.517675
134	4099.0192
135	4094.388778
136	4090.857894
137	4089.923243
138	4087.650341
139	4084.573337
140	4081.469671
141	4078.763064
142	4074.401704
143	4071.029157
144	4069.014171
145	4068.13128
146	4065.553802
147	4059.80856
148	4055.770259
149	4054.281152
150	4052.448635
151	4050.082516
152	4045.702544
153	4043.504567
154	4040.189279
155	4036.832248
156	4034.590229
157	4031.100889
158	4029.308049
159	4026.368759
160	4021.601602
161	4019.906645
162	4017.601471
163	4012.18274
164	4008.620315
165	4005.237678
166	4002.776591
167	4001.741358
168	3997.046869
169	3992.533762
170	3990.118109
171	3987.904531
172	3985.750939
173	3982.884932
174	3980.737644
175	3979.34784
176	3976.72874
177	3975.089576
178	3970.544854
179	3966.907546
180	3962.304422
181	3958.974876
182	3956.071725
183	3953.755958
184	3951.442766
185	3948.499794
186	3947.233427
187	3942.176356
188	3940.747977
189	3939.033367
190	3937.055693
191	3933.005565
192	3931.765552
193	3928.998978
194	3927.024103
195	3924.310302
196	3922.55895
197	3919.198621
198	3917.041158
199	3912.153121
200	3909.629515
201	3906.924229
202	3905.154198
203	3899.705046
204	3898.307332
205	3895.612344
206	3890.948016
207	3888.383374
208	3883.927293
209	3882.551526
210	3879.906014
211	3878.572861
212	3875.965893
213	3872.11807
214	3870.015571
215	3868.314916
216	3865.809286
217	3863.942895
218	3861.474355
219	3859.732629
220	3856.534004
221	3855.437308
222	3851.763096
223	3849.698953
224	3847.158213
225	3844.58911
226	3843.078499
227	3842.024472
228	3837.479911
229	3835.611237
230	3833.423405
231	3831.135921
232	3827.354261
233	3825.782922
234	3823.188242
235	3817.965702
236	3815.824355
237	3814.509007
238	3811.768498
239	3809.269145
240	3806.748092
241	3805.022423
242	3803.901
243	3802.719642
244	3801.537219
245	3799.0518
246	3796.792856
247	3793.194681
248	3792.718331
249	3789.388442
250	3787.30528
251	3783.929958
252	3781.427475
253	3779.170051
254	3777.384461
255	3775.107416
256	3773.153883
257	3771.454428
258	3769.819415
259	3768.540836
260	3766.16343
261	3764.00987
262	3763.201328
263	3759.592565
264	3756.148882
265	3753.87181
266	3750.854804
267	3749.091741
268	3747.526791
269	3743.277219
270	3740.804329
271	3738.537886
272	3735.565898
273	3733.63918
274	3730.477374
275	3728.32234
276	3726.329424
277	3723.543928
278	3721.733361
279	3720.939438
280	3718.811807
281	3716.769216
282	3714.014374
283	3712.05768
284	3710.095695
285	3709.343752
286	3706.285597
287	3702.064744
288	3700.347114
289	3698.031985
290	3697.319839
291	3696.244854
292	3694.367862
293	3693.665116
294	3691.578749
295	3687.310914
296	3685.280635
297	3683.529598
298	3682.168809
299	3681.738804
300	3681.097078
301	3678.04923
302	3675.881603
303	3672.885746
304	3670.102051
305	3667.661013
306	3667.0264
307	3665.438235
308	3663.765579
309	3661.399018
310	3660.209665
311	3659.597948
312	3655.970553
313	3655.635564
314	3651.706244
315	3650.54921
316	3648.552893
317	3648.058196
318	3647.501453
319	3645.685052
320	3645.12905
321	3642.560673
322	3640.307096
323	3639.773623
324	3637.476784
325	3633.681216
326	3631.960721
327	3631.430264
328	3630.080559
329	3627.9554
330	3625.664238
331	3620.779339
332	3617.349884
333	3615.688282
334	3613.982498
335	3613.637095
336	3611.377349
337	3608.931075
338	3608.12215
339	3604.004574
340	3599.881639
341	3598.101706
342	3595.148039
343	3593.55169
344	3592.569882
345	3591.132014
346	3588.590058
347	3587.036613
348	3584.557607
349	3583.762474
350	3582.310433
351	3581.999351
352	3581.592726
353	3578.372039
354	3576.756841
355	3573.245901
356	3572.555716
357	3572.056538
358	3571.589328
359	3569.058681
360	3567.255232
361	3565.192339
362	3564.547597
363	3560.002909
364	3557.22414
365	3555.222336
366	3553.392525
367	3552.219856
368	3550.653895
369	3549.61099
370	3548.36862
371	3547.153703
372	3546.72895
373	3546.360023
374	3545.359351
375	3545.086772
376	3542.742623
377	3540.473683
378	3539.225381
379	3538.466969
380	3536.80607
381	3534.334958
382	3531.676731
383	3530.466261
384	3528.818295
385	3525.223081
386	3521.796265
387	3519.384078
388	3515.969127
389	3513.943997
390	3511.204782
391	3507.922709
392	3507.18709
393	3505.97911
394	3503.104068
395	3500.263804
396	3499.119056
397	3495.474646
398	3495.113987
399	3493.687998
400	3492.670561
401	3490.111815
402	3487.799727
403	3485.591654
404	3482.537797
405	3481.228765
406	3480.95143
407	3479.349527
408	3477.966601
409	3475.710562
410	3473.633622
411	3473.26434
412	3470.490404
413	3470.15822
414	3468.736743
415	3467.986033
416	3466.364026
417	3465.111799
418	3461.892135
419	3459.106426
420	3455.907829
421	3455.223107
422	3454.881073
423	3451.904112
424	3448.868343
425	3446.77505
426	3444.233012
427	3442.770748
428	3440.358634
429	3439.154517
430	3438.139954
431	3435.709871
432	3433.739841
433	3432.210381
434	3427.660148
435	3426.370138
436	3422.549848
437	3421.480226
438	3419.476338
439	3418.891173
440	3417.811764
441	3414.956378
442	3412.932195
443	3411.317203
444	3410.978111
445	3409.368773
446	3408.047391
447	3407.158933
448	3405.56844
449	3401.485986
450	3400.7833
451	3397.600559
452	3394.861043
453	3391.525681
454	3388.383989
455	3385.849157
456	3384.058392
457	3379.850948
458	3379.20999
459	3378.066612
460	3376.766893
461	3375.908009
462	3374.570904
463	3373.555049
464	3372.095843
465	3369.704131
466	3368.656512
467	3368.032828
468	3365.062113
469	3364.145721
470	3361.939477
471	3360.981779
472	3359.526235
473	3358.310223
474	3357.189754
475	3355.308785
476	3352.840979
477	3352.34425
478	3350.483594
479	3348.250802
480	3347.242962
481	3343.938195
482	3341.976414
483	3341.174142
484	3339.003015
485	3336.900948
486	3335.839914
487	3334.607655
488	3332.569242
489	3331.501033
490	3330.751808
491	3327.450123
492	3326.776859
493	3325.781391
494	3322.484606
495	3321.699487
496	3320.047461
497	3319.797435
498	3317.946517
499	3315.626884
500	3314.298344
501	3311.122554
502	3309.181355
503	3306.940903
504	3305.226898
505	3301.268161
506	3300.515882
507	3299.79162
508	3298.806674
509	3297.395017
510	3296.754861
511	3295.379552
512	3294.468631
513	3292.650843
514	3290.541599
515	3289.56048
516	3288.958598
517	3288.357752
518	3286.919827
519	3286.391185
520	3284.233609
521	3283.343065
522	3280.910916
523	3280.60262
524	3279.638863
525	3278.042504
526	3277.135255
527	3276.879259
528	3275.036987
529	3273.56508
530	3271.569978
531	3270.830652
532	3270.540381
533	3269.948575
534	3266.355306
535	3265.170973
536	3263.359123
537	3261.846407
538	3261.283021
539	3259.394125
540	3258.660528
541	3255.837015
542	3254.642154
543	3253.348947
544	3252.804879
545	3251.343774
546	3249.830066
547	3248.566691
548	3247.772419
549	3245.474682
550	3245.025385
551	3244.145793
552	3242.067657
553	3241.53611
554	3240.213147
555	3238.901982
556	3238.316225
557	3236.988545
558	3235.587328
559	3233.58234
560	3230.305123
561	3227.613984
562	3226.232513
563	3225.053973
564	3223.292714
565	3222.459373
566	3219.10066
567	3217.773779
568	3215.997233
569	3213.290531
570	3212.004484
571	3208.961245
572	3207.318448
573	3206.259481
574	3204.897108
575	3203.965888
576	3202.776712
577	3202.043928
578	3199.901111
579	3198.990658
580	3195.798682
581	3195.568811
582	3194.276806
583	3193.841706
584	3193.227596
585	3191.309678
586	3188.398643
587	3187.532
588	3187.167629
589	3185.878051
590	3185.529692
591	3182.246159
592	3181.75192
593	3181.11882
594	3177.946461
595	3176.702197
596	3175.982866
597	3175.255876
598	3172.921439
599	3172.706595
600	3169.166026
601	3167.470054
602	3164.019066
603	3162.376887
604	3161.926253
605	3159.49927
606	3159.205048
607	3158.379835
608	3156.768557
609	3154.76834
610	3152.26231
611	3151.684444
612	3151.087975
613	3149.268181
614	3146.735712
615	3145.678756
616	3143.72801
617	3142.02259
618	3141.532485
619	3140.008035
620	3139.589077
621	3136.014231
622	3135.88591
623	3134.138734
624	3130.924316
625	3130.268727
626	3128.643956
627	3126.508706
628	3125.751255
629	3125.158397
630	3122.693429
631	3121.628504
632	3119.007697
633	3116.538655
634	3115.559426
635	3113.350442
636	3112.79979
637	3112.374567
638	3108.997237
639	3107.025922
640	3104.651098
641	3103.578297
642	3102.650487
643	3101.628301
644	3101.23568
645	3100.20014
646	3100.064687
647	3099.168715
648	3097.827164
649	3095.550882
650	3093.724385
651	3093.57712
652	3091.775513
653	3090.176521
654	3089.143698
655	3086.834317
656	3083.454592
657	3082.884038
658	3082.422997
659	3081.518519
660	3078.911246
661	3078.400901
662	3078.01788
663	3077.074501
664	3075.977034
665	3072.727669
666	3070.08567
667	3068.487978
668	3067.860634
669	3066.999101
670	3066.605565
671	3063.830737
672	3062.691079
673	3060.043413
674	3059.096168
675	3058.056445
676	3056.993194
677	3056.276784
678	3055.943729
679	3055.111211
680	3052.41793
681	3051.552647
682	3051.295492
683	3051.157355
684	3049.907339
685	3048.31029
686	3047.108744
687	3046.249891
688	3045.092985
689	3044.198921
690	3043.609864
691	3041.396028
692	3040.588449
693	3039.971937
694	3037.635176
695	3037.047904
696	3034.630274
697	3032.717069
698	3031.905018
699	3029.718931
700	3029.388412
701	3028.90848
702	3028.337259
703	3027.582968
704	3026.435682
705	3022.284878
706	3021.550436
707	3020.841795
708	3019.610913
709	3018.991204
710	3018.158421
711	3017.548926
712	3016.944674
713	3014.377744
714	3013.363355
715	3012.487321
716	3010.254625
717	3010.006227
718	3009.500008
719	3006.764779
720	3003.909186
721	3002.402978
722	3000.356901
723	2998.823637
724	2998.124079
725	2996.474603
726	2995.478724
727	2993.997701
728	2992.293558
729	2991.029586
730	2990.848222
731	2990.709847
732	2990.368168
733	2989.518103
734	2988.656308
735	2986.368797
736	2983.514365
737	2982.557893
738	2982.068343
739	2981.369218
740	2978.279975
741	2977.363139
742	2977.192421
743	2976.704674
744	2976.102922
745	2975.216771
746	2973.903602
747	2972.964255
748	2971.277865
749	2970.647878
750	2968.61955
751	2967.179126
752	2965.874506
753	2965.394621
754	2963.922432
755	2963.498623
756	2962.649358
757	2961.258533
758	2960.685461
759	2959.250569
760	2957.756344
761	2957.081718
762	2955.566266
763	2954.164643
764	2953.607203
765	2950.469329
766	2949.631386
767	2948.695989
768	2947.909821
769	2946.997388
770	2946.632907
771	2944.974918
772	2944.275978
773	2943.76614
774	2943.147441
775	2943.074845
776	2941.681277
777	2940.854062
778	2940.06236
779	2938.048651
780	2937.070527
781	2936.72653
782	2936.117294
783	2935.655549
784	2933.958798
785	2933.11598
786	2932.604812
787	2931.596639
788	2930.867418
789	2930.147765
790	2929.372388
791	2927.758286
792	2924.634885
793	2924.328394
794	2921.300571
795	2920.260696
796	2919.442939
797	2918.861666
798	2918.516119
799	2916.877637
800	2916.367681
801	2915.41159
802	2914.588565
803	2914.432561
804	2913.95298
805	2913.008247
806	2912.164465
807	2911.241104
808	2908.341402
809	2908.031278
810	2906.825055
811	2904.484339
812	2903.925391
813	2903.481486
814	2901.564332
815	2900.81279
816	2898.540017
817	2897.869841
818	2897.09379
819	2895.724926
820	2894.821161
821	2893.835298
822	2891.385332
823	2890.736146
824	2888.536479
825	2887.679959
826	2885.888337
827	2883.976871
828	2881.543607
829	2881.100296
830	2879.421423
831	2876.926411
832	2876.129993
833	2875.072049
834	2874.764633
835	2874.274421
836	2873.18986
837	2871.775439
838	2871.126361
839	2869.438006
840	2868.323938
841	2866.589369
842	2863.153421
843	2862.135184
844	2861.361538
845	2859.163871
846	2857.888495
847	2857.321905
848	2856.99305
849	2856.244768
850	2855.608805
851	2854.547489
852	2853.976217
853	2853.666883
854	2852.983362
855	2852.368105
856	2850.954237
857	2850.464909
858	2850.369952
859	2849.911584
860	2848.842762
861	2845.988106
862	2845.309223
863	2843.569266
864	2840.481877
865	2838.283439
866	2836.912741
867	2835.323244
868	2834.695822
869	2832.903808
870	2831.935107
871	2829.645467
872	2828.463919
873	2826.277444
874	2825.455518
875	2824.849222
876	2823.112763
877	2820.953302
878	2820.17413
879	2817.932644
880	2817.695882
881	2816.522249
882	2815.735151
883	2814.577277
884	2814.020562
885	2813.115732
886	2810.728354
887	2807.525054
888	2806.455208
889	2804.969191
890	2804.33902
891	2803.593928
892	2803.173244
893	2801.090139
894	2800.052492
895	2799.451638
896	2797.466195
897	2796.797892
898	2796.439375
899	2794.868105
900	2793.84427
901	2792.30533
902	2792.06805
903	2791.470265
904	2790.523888
905	2789.001957
906	2788.269404
907	2787.023418
908	2786.297592
909	2784.940894
910	2782.037662
911	2780.930575
912	2780.560661
913	2779.812321
914	2779.290598
915	2778.380401
916	2775.82027
917	2775.164875
918	2773.926318
919	2773.288172
920	2772.041688
921	2770.861287
922	2770.421292
923	2769.629951
924	2768.992232
925	2767.008279
926	2765.747896
927	2764.805753
928	2762.260186
929	2761.955732
930	2760.060055
931	2757.99927
932	2755.222321
933	2754.105738
934	2753.658355
935	2752.794649
936	2752.113499
937	2751.009685
938	2749.066653
939	2746.734622
940	2746.365649
941	2744.396455
942	2743.750147
943	2742.113374
944	2741.119782
945	2740.615461
946	2739.964328
947	2738.684852
948	2737.093526
949	2736.403009
950	2735.861965
951	2734.597195
952	2731.913873
953	2731.45979
954	2730.416559
955	2729.554153
956	2729.024656
957	2727.609407
958	2726.543338
959	2725.265123
960	2724.667686
961	2723.989656
962	2723.723904
963	2723.314419
964	2722.607493
965	2722.357435
966	2721.45476
967	2720.067683
968	2719.459214
969	2717.817002
970	2715.952735
971	2714.74578
972	2712.224384
973	2711.133835
974	2710.471882
975	2709.561022
976	2708.153341
977	2705.191824
978	2704.637389
979	2703.731557
980	2702.556239
981	2701.934509
982	2701.082711
983	2700.372435
984	2699.866217
985	2699.419684
986	2697.510608
987	2697.216762
988	2696.019013
989	2695.422879
990	2694.394287
991	2694.051796
992	2692.359319
993	2690.943787
994	2690.290872
995	2689.6881
996	2688.495586
997	2687.394687
998	2686.472598
999	2685.573758
